id,Sexe,Nom,Prenom,Etiquette,Elu1988,Elu1993,Elu1997,Elu2002,Elu2007,Elu2012,Elu2017,Nombre_presentation_1988,Nombre_presentation_1993,Nombre_presentation_1997,Nombre_presentation_2002,Nombre_presentation_2007,Nombre_presentation_2012,Nombre_presentation_2017,Nombre_Elu_1988,Nombre_Elu_1993,Nombre_Elu_1997,Nombre_Elu_2002,Nombre_Elu_2007,Nombre_Elu_2012,Nombre_Elu_2017,1988,1988_RES,1993,1993_RES,1997,1997_RES,2002,2002_RES,2007,2007_RES,2012,2012_RES,2017,2017_RES,Phrase_pres_cand,Phrase_pres_parti,Age,Site_perso,Twitter,Facebook,Img_cand,PodCast
37,F,BACHELOT,ROSELYNE,UNION POUR UN MOUVEMENT POPULAIRE,C1,C1,C1,C1,C1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,C1_49,47.77,C1_49,46.74,C1_49,36.25,C1_49,46.46,C1_49,45.75,,,,,,,,,,,,
38,F,BACOT,DOMINIQUE,SANS ETIQUETTE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C4_44,0.51,,,,,,,,,,,,,,
39,M,BAGOUET,ALAIN,INDEPENDANT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C7_49,1.21,,,,,,,,,,,,,,
40,M,BAILLET,JEAN,UNION POUR LA MAJORITE PRESIDENTIELLE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C3_44,23.48,,,,,,,,,,,,,,
41,F,BAILLET,ODILE,MOUVEMENT NATIONAL REPUBLICAIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C4_49,0.72,,,,,,,,,,,,,,
42,M,BAILLEUL,DANIEL,UNION POUR LA DEMOCRATIE FRANCAISE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C3_72,4.1,,,,,,,,,,,,,,
43,M,BAILLEUX,ROBERT,DIVERS EXTREME GAUCHE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C6_49,3.86,,,,,,,,,,,,,,,,,,,,
44,M,BAINVEL,JULIEN,LES REPUBLICAINS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,C1_44,,"Julien Beinval, né en 1984, Conseiller Municipal et Conseiller Communautaire Nantes Métropole se présente en tant que candidat Les Républicains aux législatives sur la 1ère Circonscription de Loire-Atlantique.  ","Les Républicains est un parti politique libéral-conservateur, classé à droite, anciennement connu sous le nom d’Union pour un mouvement populaire (UMP) et fondé en 2002.",33 ans,www.julienbainvel2017.fr,https://twitter.com/julienbainvel?lang=fr,https://www.facebook.com/julien.bainvel,,
45,F,BAR,FABIENNE,FRONT NATIONAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C4_44,5.07,,,,,,,,,,,,,,
46,M,BARAT,EMMANUEL,POLE REPUBLICAIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C7_49,1.07,,,,,,,,,,,,,,
47,F,BARBARIT,ANITA,LA FRANCE EN ACTION,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C4_85,1.4,,,,,,,,,,,,
48,F,BARBIER,DOMINIQUE,PARTI OUVRIER INDEPENDANT,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,C2_49,1.33,C2_49,1.11,C2_49,0.56,,,,,,,,,,
49,M,BARDY,SERGE,PARTI SOCIALISTE,0,0,0,0,0,C6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,C6_49,21.33,C6_49,20.42,,,,,,,,,,
50,M,BARITEL,ROGER,PARTI HUMANISTE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C4_44,0,,,,,,,,,,,,
51,M,BARON,BRUNO,EUROPE-ECOLOGIE-LES VERTS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C2_49,4.33,,,,,,,,,,
52,M,BARON,CHRISTIAN,ALLIANCE CENTRISTE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C7_49,4.11,,,,,,,,,,
53,M,BARRAULT,GILLES,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,C5_49,3.9,C5_49,4.03,,,,,,,,,,,,,,,,
54,M,BARRET,LOUIS-GEORGES,PARTI CHRETIEN-DEMOCRATE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C2_44,2.21,,,,,,,,,,
55,M,BARRIER,GUY,SANS ETIQUETTE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,C3_85,2.05,,,,,,,,,,,,,,,,
56,F,BARSKA-ALIBERT,KATARZYNA,NOUVEAU CENTRE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C2_49,1.32,,,,,,,,,,
57,F,BARVEC,YVONNE,REGIONALISTES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C8_44,0.87,,,,,,,,,,,,
58,M,BATT,FRANCIS,PARTI POUR LA DEFENSE DES ANIMAUX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C3_72,3.75,,,,,,,,,,,,,,,,,,
59,M,BATTAIS,BORIS,FRONT DE GAUCHE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C2_49,4.09,,,,,,,,,,
60,M,BATTEUX,JOEL GUY,MOUVEMENT DES CITOYENS,0,0,C8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,C8_44,21.54,,,,,,,,,,,,,,,,
61,F,BAUDET-PIDOUX,CECILE,LES VERTS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C7_49,3.56,,,,,,,,,,,,,,
62,M,BAUDOUIN,JEAN PIERRE,RPR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C5_44,10.58,,,,,,,,,,,,,,,,,,,,
63,M,BAUDOUIN,STEPHANE,SANS ETIQUETTE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,C4_49,2.82,,,,,,,,,,,,,,,,
64,M,BAUDRY,GERARD,PARTI DES TRAVAILLEURS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C3_72,1.38,,,,,,,,,,,,
65,M,BAUDRY,ROGER,FRONT NATIONAL,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,C6_49,5.73,C5_49,10.49,C5_49,10.47,C5_49,1.26,,,,,,,,,,,,,,
