DATE,GEONAME,SCORE
2017-02-07,Poitou-Charentes,81
2017-02-07,Provence-Alpes-Côte d'Azur,79
2017-02-07,Rhone-Alpes,76
2017-02-07,Upper Normandy,76
2017-02-07,Île-de-France,76
2017-02-08,Alsace,76
2017-02-08,Aquitaine,86
2017-02-08,Auvergne,65
2017-02-08,Brittany,100
2017-02-08,Burgundy,61
2017-02-08,Centre-Val de Loire,72
2017-02-08,Champagne-Ardenne,67
2017-02-08,Corsica,72
2017-02-08,Franche-Comté,53
2017-02-08,Languedoc-Roussillon,72
2017-02-08,Limousin,65
2017-02-08,Lorraine,62
2017-02-08,Lower Normandy,67
2017-02-08,Midi-Pyrénées,76
2017-02-08,Nord-Pas-de-Calais,57
2017-02-08,Pays de la Loire,83
2017-02-08,Picardy,55
2017-02-08,Poitou-Charentes,78
2017-02-08,Provence-Alpes-Côte d'Azur,74
2017-02-08,Rhone-Alpes,71
2017-02-08,Upper Normandy,58
2017-02-08,Île-de-France,74
2017-02-09,Alsace,81
2017-02-09,Aquitaine,94
2017-02-09,Auvergne,88
2017-02-09,Brittany,99
2017-02-09,Burgundy,71
2017-02-09,Centre-Val de Loire,87
2017-02-09,Champagne-Ardenne,67
2017-02-09,Corsica,87
2017-02-09,Franche-Comté,66
2017-02-09,Languedoc-Roussillon,82
2017-02-09,Limousin,68
2017-02-09,Lorraine,70
2017-02-09,Lower Normandy,78
2017-02-09,Midi-Pyrénées,88
2017-02-09,Nord-Pas-de-Calais,60
2017-02-09,Pays de la Loire,100
2017-02-09,Picardy,75
2017-02-09,Poitou-Charentes,92
2017-02-09,Provence-Alpes-Côte d'Azur,84
2017-02-09,Rhone-Alpes,74
2017-02-09,Upper Normandy,67
2017-02-09,Île-de-France,78
2017-02-10,Alsace,64
2017-02-10,Aquitaine,78
2017-02-10,Auvergne,83
2017-02-10,Brittany,100
2017-02-10,Burgundy,67
2017-02-10,Centre-Val de Loire,73
2017-02-10,Champagne-Ardenne,69
2017-02-10,Corsica,85
2017-02-10,Franche-Comté,64
2017-02-10,Languedoc-Roussillon,66
2017-02-10,Limousin,46
2017-02-10,Lorraine,56
2017-02-10,Lower Normandy,89
2017-02-10,Midi-Pyrénées,66
2017-02-10,Nord-Pas-de-Calais,47
2017-02-10,Pays de la Loire,79
2017-02-10,Picardy,52
2017-02-10,Poitou-Charentes,69
2017-02-10,Provence-Alpes-Côte d'Azur,68
2017-02-10,Rhone-Alpes,70
2017-02-10,Upper Normandy,59
2017-02-10,Île-de-France,67
2017-02-11,Alsace,73
2017-02-11,Aquitaine,94
2017-02-11,Auvergne,72
2017-02-11,Brittany,96
2017-02-11,Burgundy,85
2017-02-11,Centre-Val de Loire,74
2017-02-11,Champagne-Ardenne,51
2017-02-11,Corsica,59
2017-02-11,Franche-Comté,58
2017-02-11,Languedoc-Roussillon,64
2017-02-11,Limousin,81
2017-02-11,Lorraine,61
2017-02-11,Lower Normandy,71
2017-02-11,Midi-Pyrénées,81
2017-02-11,Nord-Pas-de-Calais,53
2017-02-11,Pays de la Loire,100
2017-02-11,Picardy,50
2017-02-11,Poitou-Charentes,85
2017-02-11,Provence-Alpes-Côte d'Azur,75
2017-02-11,Rhone-Alpes,67
2017-02-11,Upper Normandy,64
2017-02-11,Île-de-France,76
2017-02-12,Alsace,63
2017-02-12,Aquitaine,73
2017-02-12,Auvergne,66
2017-02-12,Brittany,100
2017-02-12,Burgundy,83
2017-02-12,Centre-Val de Loire,69
2017-02-12,Champagne-Ardenne,55
2017-02-12,Corsica,68
2017-02-12,Franche-Comté,46
2017-02-12,Languedoc-Roussillon,70
2017-02-12,Limousin,100
2017-02-12,Lorraine,59
2017-02-12,Lower Normandy,65
2017-02-12,Midi-Pyrénées,86
2017-02-12,Nord-Pas-de-Calais,56
2017-02-12,Pays de la Loire,91
2017-02-12,Picardy,46
2017-02-12,Poitou-Charentes,78
2017-02-12,Provence-Alpes-Côte d'Azur,66
2017-02-12,Rhone-Alpes,77
2017-02-12,Upper Normandy,61
2017-02-12,Île-de-France,75
2017-02-13,Alsace,63
2017-02-13,Aquitaine,75
2017-02-13,Auvergne,81
2017-02-13,Brittany,100
2017-02-13,Burgundy,72
2017-02-13,Centre-Val de Loire,76
2017-02-13,Champagne-Ardenne,44
2017-02-13,Corsica,78
2017-02-13,Franche-Comté,58
2017-02-13,Languedoc-Roussillon,70
2017-02-13,Limousin,99
2017-02-13,Lorraine,61
2017-02-13,Lower Normandy,66
2017-02-13,Midi-Pyrénées,88
2017-02-13,Nord-Pas-de-Calais,54
2017-02-13,Pays de la Loire,79
2017-02-13,Picardy,63
2017-02-13,Poitou-Charentes,80
2017-02-13,Provence-Alpes-Côte d'Azur,70
2017-02-13,Rhone-Alpes,75
2017-02-13,Upper Normandy,57
2017-02-13,Île-de-France,72
2017-02-14,Alsace,55
2017-02-14,Aquitaine,73
2017-02-14,Auvergne,73
2017-02-14,Brittany,100
2017-02-14,Burgundy,61
2017-02-14,Centre-Val de Loire,62
2017-02-14,Champagne-Ardenne,57
2017-02-14,Corsica,51
2017-02-14,Franche-Comté,55
2017-02-14,Languedoc-Roussillon,58
2017-02-14,Limousin,59
2017-02-14,Lorraine,57
2017-02-14,Lower Normandy,56
2017-02-14,Midi-Pyrénées,78
2017-02-14,Nord-Pas-de-Calais,51
2017-02-14,Pays de la Loire,69
2017-02-14,Picardy,66
2017-02-14,Poitou-Charentes,69
2017-02-14,Provence-Alpes-Côte d'Azur,61
2017-02-14,Rhone-Alpes,69
2017-02-14,Upper Normandy,61
2017-02-14,Île-de-France,66
2017-02-15,Alsace,63
2017-02-15,Aquitaine,71
2017-02-15,Auvergne,73
2017-02-15,Brittany,100
2017-02-15,Burgundy,74
2017-02-15,Centre-Val de Loire,55
2017-02-15,Champagne-Ardenne,58
2017-02-15,Corsica,70
2017-02-15,Franche-Comté,50
2017-02-15,Languedoc-Roussillon,66
2017-02-15,Limousin,60
2017-02-15,Lorraine,62
2017-02-15,Lower Normandy,69
2017-02-15,Midi-Pyrénées,70
2017-02-15,Nord-Pas-de-Calais,47
2017-02-15,Pays de la Loire,71
2017-02-15,Picardy,66
2017-02-15,Poitou-Charentes,64
2017-02-15,Provence-Alpes-Côte d'Azur,63
2017-02-15,Rhone-Alpes,64
2017-02-15,Upper Normandy,58
2017-02-15,Île-de-France,71
2017-02-16,Alsace,42
2017-02-16,Aquitaine,57
2017-02-16,Auvergne,65
2017-02-16,Brittany,78
2017-02-16,Burgundy,46
2017-02-16,Centre-Val de Loire,51
2017-02-16,Champagne-Ardenne,47
2017-02-16,Corsica,100
2017-02-16,Franche-Comté,49
2017-02-16,Languedoc-Roussillon,49
2017-02-16,Limousin,41
2017-02-16,Lorraine,41
2017-02-16,Lower Normandy,65
2017-02-16,Midi-Pyrénées,57
2017-02-16,Nord-Pas-de-Calais,46
2017-02-16,Pays de la Loire,62
2017-02-16,Picardy,48
2017-02-16,Poitou-Charentes,57
2017-02-16,Provence-Alpes-Côte d'Azur,58
2017-02-16,Rhone-Alpes,53
2017-02-16,Upper Normandy,43
2017-02-16,Île-de-France,54
2017-02-17,Alsace,63
