DATE,GEONAME,SCORE
2017-02-15,Nord-Pas-de-Calais,75
2017-02-15,Pays de la Loire,64
2017-02-15,Picardy,70
2017-02-15,Poitou-Charentes,46
2017-02-15,Provence-Alpes-Côte d'Azur,100
2017-02-15,Rhone-Alpes,62
2017-02-15,Upper Normandy,65
2017-02-15,Île-de-France,76
2017-02-16,Alsace,27
2017-02-16,Aquitaine,37
2017-02-16,Auvergne,41
2017-02-16,Brittany,44
2017-02-16,Burgundy,70
2017-02-16,Centre-Val de Loire,26
2017-02-16,Champagne-Ardenne,62
2017-02-16,Corsica,45
2017-02-16,Franche-Comté,100
2017-02-16,Languedoc-Roussillon,20
2017-02-16,Limousin,47
2017-02-16,Lorraine,26
2017-02-16,Lower Normandy,28
2017-02-16,Midi-Pyrénées,24
2017-02-16,Nord-Pas-de-Calais,31
2017-02-16,Pays de la Loire,34
2017-02-16,Picardy,23
2017-02-16,Poitou-Charentes,33
2017-02-16,Provence-Alpes-Côte d'Azur,39
2017-02-16,Rhone-Alpes,35
2017-02-16,Upper Normandy,27
2017-02-16,Île-de-France,34
2017-02-17,Alsace,25
2017-02-17,Aquitaine,26
2017-02-17,Auvergne,60
2017-02-17,Brittany,47
2017-02-17,Burgundy,56
2017-02-17,Centre-Val de Loire,26
2017-02-17,Champagne-Ardenne,61
2017-02-17,Corsica,50
2017-02-17,Franche-Comté,100
2017-02-17,Languedoc-Roussillon,31
2017-02-17,Limousin,29
2017-02-17,Lorraine,40
2017-02-17,Lower Normandy,21
2017-02-17,Midi-Pyrénées,38
2017-02-17,Nord-Pas-de-Calais,37
2017-02-17,Pays de la Loire,33
2017-02-17,Picardy,59
2017-02-17,Poitou-Charentes,34
2017-02-17,Provence-Alpes-Côte d'Azur,38
2017-02-17,Rhone-Alpes,38
2017-02-17,Upper Normandy,32
2017-02-17,Île-de-France,41
2017-02-18,Alsace,18
2017-02-18,Aquitaine,21
2017-02-18,Auvergne,35
2017-02-18,Brittany,43
2017-02-18,Burgundy,39
2017-02-18,Centre-Val de Loire,23
2017-02-18,Champagne-Ardenne,37
2017-02-18,Corsica,71
2017-02-18,Franche-Comté,100
2017-02-18,Languedoc-Roussillon,37
2017-02-18,Limousin,27
2017-02-18,Lorraine,31
2017-02-18,Lower Normandy,16
2017-02-18,Midi-Pyrénées,24
2017-02-18,Nord-Pas-de-Calais,32
2017-02-18,Pays de la Loire,35
2017-02-18,Picardy,26
2017-02-18,Poitou-Charentes,25
2017-02-18,Provence-Alpes-Côte d'Azur,39
2017-02-18,Rhone-Alpes,36
2017-02-18,Upper Normandy,16
2017-02-18,Île-de-France,34
2017-02-19,Alsace,61
2017-02-19,Aquitaine,43
2017-02-19,Auvergne,62
2017-02-19,Brittany,100
2017-02-19,Burgundy,44
2017-02-19,Centre-Val de Loire,54
2017-02-19,Champagne-Ardenne,76
2017-02-19,Corsica,62
2017-02-19,Franche-Comté,41
2017-02-19,Languedoc-Roussillon,71
2017-02-19,Limousin,43
2017-02-19,Lorraine,54
2017-02-19,Lower Normandy,60
2017-02-19,Midi-Pyrénées,59
2017-02-19,Nord-Pas-de-Calais,54
2017-02-19,Pays de la Loire,70
2017-02-19,Picardy,65
2017-02-19,Poitou-Charentes,62
2017-02-19,Provence-Alpes-Côte d'Azur,71
2017-02-19,Rhone-Alpes,46
2017-02-19,Upper Normandy,53
2017-02-19,Île-de-France,64
2017-02-20,Alsace,77
2017-02-20,Aquitaine,81
2017-02-20,Auvergne,53
2017-02-20,Brittany,94
2017-02-20,Burgundy,63
2017-02-20,Centre-Val de Loire,40
2017-02-20,Champagne-Ardenne,58
2017-02-20,Corsica,90
2017-02-20,Franche-Comté,78
2017-02-20,Languedoc-Roussillon,85
2017-02-20,Limousin,62
2017-02-20,Lorraine,68
2017-02-20,Lower Normandy,100
2017-02-20,Midi-Pyrénées,84
2017-02-20,Nord-Pas-de-Calais,67
2017-02-20,Pays de la Loire,58
2017-02-20,Picardy,45
2017-02-20,Poitou-Charentes,95
2017-02-20,Provence-Alpes-Côte d'Azur,79
2017-02-20,Rhone-Alpes,70
2017-02-20,Upper Normandy,75
2017-02-20,Île-de-France,91
2017-02-21,Alsace,75
2017-02-21,Aquitaine,77
2017-02-21,Auvergne,87
2017-02-21,Brittany,97
2017-02-21,Burgundy,94
2017-02-21,Centre-Val de Loire,79
2017-02-21,Champagne-Ardenne,50
2017-02-21,Corsica,73
2017-02-21,Franche-Comté,61
2017-02-21,Languedoc-Roussillon,84
2017-02-21,Limousin,100
2017-02-21,Lorraine,73
2017-02-21,Lower Normandy,84
2017-02-21,Midi-Pyrénées,92
2017-02-21,Nord-Pas-de-Calais,68
2017-02-21,Pays de la Loire,71
2017-02-21,Picardy,87
2017-02-21,Poitou-Charentes,76
2017-02-21,Provence-Alpes-Côte d'Azur,91
2017-02-21,Rhone-Alpes,72
2017-02-21,Upper Normandy,82
2017-02-21,Île-de-France,100
2017-02-22,Alsace,42
2017-02-22,Aquitaine,60
2017-02-22,Auvergne,41
2017-02-22,Brittany,68
2017-02-22,Burgundy,50
2017-02-22,Centre-Val de Loire,63
2017-02-22,Champagne-Ardenne,50
2017-02-22,Corsica,100
2017-02-22,Franche-Comté,74
2017-02-22,Languedoc-Roussillon,53
2017-02-22,Limousin,62
2017-02-22,Lorraine,51
2017-02-22,Lower Normandy,57
2017-02-22,Midi-Pyrénées,74
2017-02-22,Nord-Pas-de-Calais,46
2017-02-22,Pays de la Loire,59
2017-02-22,Picardy,63
2017-02-22,Poitou-Charentes,51
2017-02-22,Provence-Alpes-Côte d'Azur,62
2017-02-22,Rhone-Alpes,54
2017-02-22,Upper Normandy,42
2017-02-22,Île-de-France,62
2017-02-23,Alsace,45
2017-02-23,Aquitaine,69
2017-02-23,Auvergne,74
2017-02-23,Brittany,100
2017-02-23,Burgundy,70
2017-02-23,Centre-Val de Loire,72
2017-02-23,Champagne-Ardenne,69
2017-02-23,Corsica,40
2017-02-23,Franche-Comté,78
2017-02-23,Languedoc-Roussillon,74
2017-02-23,Limousin,20
2017-02-23,Lorraine,54
2017-02-23,Lower Normandy,50
2017-02-23,Midi-Pyrénées,70
2017-02-23,Nord-Pas-de-Calais,52
2017-02-23,Pays de la Loire,78
2017-02-23,Picardy,32
2017-02-23,Poitou-Charentes,72
2017-02-23,Provence-Alpes-Côte d'Azur,77
2017-02-23,Rhone-Alpes,79
2017-02-23,Upper Normandy,65
2017-02-23,Île-de-France,70
2017-02-24,Alsace,53
2017-02-24,Aquitaine,60
2017-02-24,Auvergne,48
2017-02-24,Brittany,55
2017-02-24,Burgundy,59
2017-02-24,Centre-Val de Loire,55
2017-02-24,Champagne-Ardenne,33
2017-02-24,Corsica,46
2017-02-24,Franche-Comté,51
2017-02-24,Languedoc-Roussillon,70
2017-02-24,Limousin,70
2017-02-24,Lorraine,39
2017-02-24,Lower Normandy,50
2017-02-24,Midi-Pyrénées,50
2017-02-24,Nord-Pas-de-Calais,50
2017-02-24,Pays de la Loire,100
2017-02-24,Picardy,50
2017-02-24,Poitou-Charentes,75
2017-02-24,Provence-Alpes-Côte d'Azur,63
2017-02-24,Rhone-Alpes,53
2017-02-24,Upper Normandy,46
2017-02-24,Île-de-France,62
2017-02-25,Alsace,39
2017-02-25,Aquitaine,52
2017-02-25,Auvergne,45
2017-02-25,Brittany,69
2017-02-25,Burgundy,39
2017-02-25,Centre-Val de Loire,52
2017-02-25,Champagne-Ardenne,32
2017-02-25,Corsica,20
2017-02-25,Franche-Comté,45
2017-02-25,Languedoc-Roussillon,53
2017-02-25,Limousin,58
2017-02-25,Lorraine,45
2017-02-25,Lower Normandy,52
2017-02-25,Midi-Pyrénées,37
2017-02-25,Nord-Pas-de-Calais,42
2017-02-25,Pays de la Loire,100
2017-02-25,Picardy,41
2017-02-25,Poitou-Charentes,49
2017-02-25,Provence-Alpes-Côte d'Azur,50
2017-02-25,Rhone-Alpes,41
2017-02-25,Upper Normandy,42
2017-02-25,Île-de-France,47
2017-02-26,Alsace,30
2017-02-26,Aquitaine,40
2017-02-26,Auvergne,42
2017-02-26,Brittany,73
2017-02-26,Burgundy,61
2017-02-26,Centre-Val de Loire,48
2017-02-26,Champagne-Ardenne,45
2017-02-26,Corsica,40
2017-02-26,Franche-Comté,57
2017-02-26,Languedoc-Roussillon,59
2017-02-26,Limousin,77
2017-02-26,Lorraine,37
