DATE,GEONAME,SCORE
2017-02-18,Poitou-Charentes,65
2017-02-18,Provence-Alpes-Côte d'Azur,48
2017-02-18,Rhone-Alpes,57
2017-02-18,Upper Normandy,42
2017-02-18,Île-de-France,45
2017-02-19,Alsace,63
2017-02-19,Aquitaine,63
2017-02-19,Auvergne,73
2017-02-19,Brittany,89
2017-02-19,Burgundy,74
2017-02-19,Centre-Val de Loire,80
2017-02-19,Champagne-Ardenne,12
2017-02-19,Corsica,52
2017-02-19,Franche-Comté,72
2017-02-19,Languedoc-Roussillon,82
2017-02-19,Limousin,68
2017-02-19,Lorraine,43
2017-02-19,Lower Normandy,71
2017-02-19,Midi-Pyrénées,100
2017-02-19,Nord-Pas-de-Calais,25
2017-02-19,Pays de la Loire,46
2017-02-19,Picardy,78
2017-02-19,Poitou-Charentes,63
2017-02-19,Provence-Alpes-Côte d'Azur,50
2017-02-19,Rhone-Alpes,65
2017-02-19,Upper Normandy,59
2017-02-19,Île-de-France,56
2017-02-20,Alsace,47
2017-02-20,Aquitaine,73
2017-02-20,Auvergne,51
2017-02-20,Brittany,74
2017-02-20,Burgundy,79
2017-02-20,Centre-Val de Loire,71
2017-02-20,Champagne-Ardenne,43
2017-02-20,Franche-Comté,93
2017-02-20,Languedoc-Roussillon,100
2017-02-20,Limousin,92
2017-02-20,Lorraine,42
2017-02-20,Lower Normandy,54
2017-02-20,Midi-Pyrénées,83
2017-02-20,Nord-Pas-de-Calais,45
2017-02-20,Pays de la Loire,64
2017-02-20,Picardy,65
2017-02-20,Poitou-Charentes,55
2017-02-20,Provence-Alpes-Côte d'Azur,60
2017-02-20,Rhone-Alpes,79
2017-02-20,Upper Normandy,79
2017-02-20,Île-de-France,62
2017-02-21,Alsace,27
2017-02-21,Aquitaine,41
2017-02-21,Auvergne,25
2017-02-21,Brittany,65
2017-02-21,Burgundy,56
2017-02-21,Centre-Val de Loire,34
2017-02-21,Franche-Comté,55
2017-02-21,Languedoc-Roussillon,32
2017-02-21,Limousin,100
2017-02-21,Lorraine,36
2017-02-21,Lower Normandy,36
2017-02-21,Midi-Pyrénées,35
2017-02-21,Nord-Pas-de-Calais,24
2017-02-21,Pays de la Loire,37
2017-02-21,Picardy,36
2017-02-21,Poitou-Charentes,25
2017-02-21,Provence-Alpes-Côte d'Azur,38
2017-02-21,Rhone-Alpes,42
2017-02-21,Upper Normandy,9
2017-02-21,Île-de-France,34
2017-02-22,Alsace,28
2017-02-22,Aquitaine,60
2017-02-22,Auvergne,73
