DATE,GEONAME,SCORE
2017-02-15,Provence-Alpes-Côte d'Azur,59
2017-02-15,Rhone-Alpes,70
2017-02-15,Upper Normandy,42
2017-02-15,Île-de-France,77
2017-02-16,Alsace,52
2017-02-16,Aquitaine,52
2017-02-16,Auvergne,68
2017-02-16,Brittany,100
2017-02-16,Burgundy,24
2017-02-16,Centre-Val de Loire,62
2017-02-16,Champagne-Ardenne,31
2017-02-16,Franche-Comté,79
2017-02-16,Languedoc-Roussillon,45
2017-02-16,Limousin,45
2017-02-16,Lorraine,47
2017-02-16,Lower Normandy,44
2017-02-16,Midi-Pyrénées,57
2017-02-16,Nord-Pas-de-Calais,39
2017-02-16,Pays de la Loire,68
2017-02-16,Picardy,19
2017-02-16,Poitou-Charentes,52
2017-02-16,Provence-Alpes-Côte d'Azur,40
2017-02-16,Rhone-Alpes,53
2017-02-16,Upper Normandy,56
2017-02-16,Île-de-France,63
2017-02-17,Alsace,53
2017-02-17,Aquitaine,64
2017-02-17,Auvergne,76
2017-02-17,Brittany,100
2017-02-17,Burgundy,48
2017-02-17,Centre-Val de Loire,44
2017-02-17,Champagne-Ardenne,43
2017-02-17,Corsica,57
2017-02-17,Franche-Comté,67
2017-02-17,Languedoc-Roussillon,67
2017-02-17,Limousin,54
2017-02-17,Lorraine,58
2017-02-17,Lower Normandy,63
2017-02-17,Midi-Pyrénées,86
2017-02-17,Nord-Pas-de-Calais,40
2017-02-17,Pays de la Loire,71
2017-02-17,Picardy,43
2017-02-17,Poitou-Charentes,54
2017-02-17,Provence-Alpes-Côte d'Azur,60
2017-02-17,Rhone-Alpes,53
2017-02-17,Upper Normandy,78
2017-02-17,Île-de-France,60
2017-02-18,Alsace,33
2017-02-18,Aquitaine,60
2017-02-18,Auvergne,99
2017-02-18,Brittany,99
2017-02-18,Burgundy,37
2017-02-18,Centre-Val de Loire,77
2017-02-18,Champagne-Ardenne,64
2017-02-18,Corsica,100
2017-02-18,Franche-Comté,79
2017-02-18,Languedoc-Roussillon,70
2017-02-18,Limousin,46
2017-02-18,Lorraine,39
2017-02-18,Lower Normandy,54
2017-02-18,Midi-Pyrénées,76
2017-02-18,Nord-Pas-de-Calais,42
2017-02-18,Pays de la Loire,84
2017-02-18,Picardy,62
2017-02-18,Poitou-Charentes,49
2017-02-18,Provence-Alpes-Côte d'Azur,49
2017-02-18,Rhone-Alpes,70
2017-02-18,Upper Normandy,64
2017-02-18,Île-de-France,68
2017-02-19,Alsace,29
2017-02-19,Aquitaine,47
2017-02-19,Auvergne,65
2017-02-19,Brittany,100
2017-02-19,Burgundy,44
2017-02-19,Centre-Val de Loire,54
2017-02-19,Champagne-Ardenne,21
2017-02-19,Corsica,63
2017-02-19,Franche-Comté,43
2017-02-19,Languedoc-Roussillon,46
2017-02-19,Limousin,48
2017-02-19,Lorraine,31
2017-02-19,Lower Normandy,45
2017-02-19,Midi-Pyrénées,52
2017-02-19,Nord-Pas-de-Calais,41
2017-02-19,Pays de la Loire,38
2017-02-19,Picardy,39
2017-02-19,Poitou-Charentes,40
2017-02-19,Provence-Alpes-Côte d'Azur,53
2017-02-19,Rhone-Alpes,44
2017-02-19,Upper Normandy,35
2017-02-19,Île-de-France,46
2017-02-20,Alsace,40
2017-02-20,Aquitaine,49
2017-02-20,Auvergne,65
2017-02-20,Brittany,100
2017-02-20,Burgundy,54
2017-02-20,Centre-Val de Loire,60
2017-02-20,Champagne-Ardenne,46
2017-02-20,Corsica,86
2017-02-20,Franche-Comté,49
2017-02-20,Languedoc-Roussillon,54
2017-02-20,Limousin,22
2017-02-20,Lorraine,53
2017-02-20,Lower Normandy,23
2017-02-20,Midi-Pyrénées,55
2017-02-20,Nord-Pas-de-Calais,32
2017-02-20,Pays de la Loire,38
2017-02-20,Picardy,28
2017-02-20,Poitou-Charentes,29
2017-02-20,Provence-Alpes-Côte d'Azur,42
2017-02-20,Rhone-Alpes,49
2017-02-20,Upper Normandy,50
2017-02-20,Île-de-France,48
2017-02-21,Alsace,49
